	cluster	from	from_category	from_cluster	from_network	from_popularity	from_topic	to	to_category	to_cluster	to_network	to_popularity	to_topic	videos	weight
552	13740	UCEj29xO7c8DB1--bkSeFOiw	Gaming	"[""12076"", ""13740"", ""13776""]"	Maker Studios	2	Action game	UCaxp4YsvThtB87LYOTsGx7g	Gaming	"[""13777""]"	None	2	Action game	"[""XKDLMNyAisk"", ""fZyOJlL_ls8"", ""kfh6v-PHE0o"", ""rv1lst4LRZQ"", ""ryA4QNaP3KU"", ""smQtN8PF6G0"", ""uD6lDhQyJPU"", ""uPvBT63wQmg"", ""uZOGO97C_2I""]"	9
553	10993	UCe-2OsbraYSQkqU6J9xjqLg	Gaming	"[""10478"", ""10993"", ""13918""]"	Maker Studios	4	Role-playing video game	UCQkAkYOCICYINGeqC83kT6Q	Gaming	"[""7938"", ""7939"", ""8195"", ""12980"", ""13304"", ""13985""]"	BroadbandTV	2	Gaming	"[""KQCuOfqULR4""]"	1
554	10993	UCe-2OsbraYSQkqU6J9xjqLg	Gaming	"[""10478"", ""10993"", ""13918""]"	Maker Studios	4	Role-playing video game	UCgLWfE1Yvq4BtBy7FTQQ1dg	Gaming	"[""2838""]"	BroadbandTV	3	Strategy video game	"[""rPRY2HebtwQ""]"	1
555	10993	UCe-2OsbraYSQkqU6J9xjqLg	Gaming	"[""10478"", ""10993"", ""13918""]"	Maker Studios	4	Role-playing video game	UCd1RvcUfipfjDmdrbfG0Ifw	Gaming	"[""4127""]"	Fullscreen	1	Gaming	"[""-d7OrzcKzbI""]"	1
556	10993	UCe-2OsbraYSQkqU6J9xjqLg	Gaming	"[""10478"", ""10993"", ""13918""]"	Maker Studios	4	Role-playing video game	UC-Tvz0FJd6xRvVDw_4dc_GQ	Entertainment	"[""8513"", ""13342"", ""13411""]"	BroadbandTV	4	Strategy video game	"[""pi9Jlbo6zlk""]"	1
557	10993	UCe-2OsbraYSQkqU6J9xjqLg	Gaming	"[""10478"", ""10993"", ""13918""]"	Maker Studios	4	Role-playing video game	UColnXTUg-zWa46EAFuY2--Q	Gaming	"[""5813""]"	BroadbandTV	2	Gaming	"[""qmOlbp1KuLE""]"	1
558	10993	UCe-2OsbraYSQkqU6J9xjqLg	Gaming	"[""10478"", ""10993"", ""13918""]"	Maker Studios	4	Role-playing video game	UC-iNzkiXFbRr_l-lq9MVy7w	Gaming	"[""11919"", ""12376"", ""13583"", ""13991""]"	BroadbandTV	3	Gaming	"[""6Q436ifF3o8"", ""OFxkExGU8tU"", ""gXhq6lmmTIk""]"	3
559	10993	UCe-2OsbraYSQkqU6J9xjqLg	Gaming	"[""10478"", ""10993"", ""13918""]"	Maker Studios	4	Role-playing video game	UCnRQGpnpDDNWy04twVuSwCA	Gaming	"[""9190""]"	Maker Studios	3	Strategy video game	"[""84SNtUuWn7M""]"	1
560	10993	UCe-2OsbraYSQkqU6J9xjqLg	Gaming	"[""10478"", ""10993"", ""13918""]"	Maker Studios	4	Role-playing video game	UCmuBqEMBGe1SKWlF33JUz0w	Entertainment	"[""7924""]"	None	0	Gaming	"[""fUWYS2SHxcs""]"	1
561	10993	UCe-2OsbraYSQkqU6J9xjqLg	Gaming	"[""10478"", ""10993"", ""13918""]"	Maker Studios	4	Role-playing video game	UCMPUE1lfT4-4qLgaJkaWmBQ	Gaming	"[""7179"", ""13941""]"	BroadbandTV	3	Action game	"[""4kDc-eoQkts""]"	1
562	10993	UCe-2OsbraYSQkqU6J9xjqLg	Gaming	"[""10478"", ""10993"", ""13918""]"	Maker Studios	4	Role-playing video game	UCw-n4KaQFH1-CuBHXpZKIBA	Gaming	"[""9658"", ""9659"", ""9662"", ""9663""]"	QuizGroup	3	Action game	"[""XQ7Ovq-p0mY""]"	1
563	10993	UCe-2OsbraYSQkqU6J9xjqLg	Gaming	"[""10478"", ""10993"", ""13918""]"	Maker Studios	4	Role-playing video game	UCvGiJYBPgVP7W1ypE3DKOqA	Gaming	"[""6213""]"	Machinima	4	Strategy video game	"[""-_DWGdWRdwY""]"	1
564	10993	UCe-2OsbraYSQkqU6J9xjqLg	Gaming	"[""10478"", ""10993"", ""13918""]"	Maker Studios	4	Role-playing video game	UCCEmjNPpJYhGDgaEqeeA4HA	Gaming	"[""3024"", ""9541"", ""10367"", ""13208""]"	Divimove ES	4	Action game	"[""sxaUkv0ejlQ""]"	1
565	10993	UCe-2OsbraYSQkqU6J9xjqLg	Gaming	"[""10478"", ""10993"", ""13918""]"	Maker Studios	4	Role-playing video game	UCEhV7Kms52H2HrdwthU2QmA	Gaming	"[""11856""]"	BroadbandTV	3	Gaming	"[""8p_-yHgF3do""]"	1
566	1470	UC7CEVQbvZ6-uy6TRH_c6scg	Entertainment	"[""1470"", ""13544""]"	None	3	Hobby	UCfYZRHQWV-evwn5kzQsK2Gg	How-to & Style	"[""4467""]"	BroadbandTV	2	Hobby	"[""rFWF8_1vjQA""]"	1
567	7764	UCJO44FUePQs91aBIoS69gvg	People & Blogs	"[""231"", ""2589"", ""6074"", ""7764"", ""8292""]"	Maker Studios	3	Lifestyle	UCnrO0wqhKpMYUt_wSeaIasw	People & Blogs	"[""2915"", ""6243"", ""9091""]"	Social Blade Legacy	4	Lifestyle	"[""XZco2BFhoHw""]"	1
568	9667	UChdmFVpheWk-mQx442PGSOw	Entertainment	"[""9667""]"	BroadbandTV	2	Gaming	UCI4kXahIsuJYCmrEkjFjAtA	People & Blogs	"[""4957"", ""5084"", ""7172""]"	BroadbandTV	3	Lifestyle	"[""S6_JSYQ1yJY"", ""TdQX97WW_EU""]"	2
569	5148	UCvWU1K29wCZ8j1NsXsRrKnA	Film & Animation	"[""5148""]"	OmniaMediaCo	3	Music	UC0RalGf69iYVBFteHInyJJg	Gaming	""""""	Creative Nation	3	Strategy video game	"[""dDCnEPWfDTM""]"	1
570	5148	UCvWU1K29wCZ8j1NsXsRrKnA	Film & Animation	"[""5148""]"	OmniaMediaCo	3	Music	UCQJT7rpynlR7SSdn3OyuI_Q	Gaming	"[""9274""]"	BroadbandTV	3	Strategy video game	"[""ZdG4fUrUMHk""]"	1
571	5148	UCvWU1K29wCZ8j1NsXsRrKnA	Film & Animation	"[""5148""]"	OmniaMediaCo	3	Music	UCdOWyp25T0HDtjpnV2LpIyw	Gaming	"[""10055""]"	BroadbandTV	3	Strategy video game	"[""aSUtDf5MJWk""]"	1
572	10907	UC45TGakhd-QcI_Y3WLMz3-g	Entertainment	"[""9815"", ""10907"", ""11998"", ""12084"", ""13112""]"	Maker Studios	3	Hobby	UCGcltwAa9xthAVTMF2ZrRYg	Entertainment	"[""6989""]"	Maker Studios	3	Hobby	"[""Ndvi7mbRLBM""]"	1
573	9815	UC45TGakhd-QcI_Y3WLMz3-g	Entertainment	"[""9815"", ""10907"", ""11998"", ""12084"", ""13112""]"	Maker Studios	3	Hobby	UCAwm8rSWCoi94powYWnhz6Q	How-to & Style	""""""	disney interactive	3	Food	"[""xxHUwLvbwTA""]"	1
574	2263	UCPDXXXJj9nax0fr0Wfc048g	Comedy	"[""424"", ""1406"", ""2263"", ""2828"", ""6846""]"	collegehumor	5	Humor	UCLAOdac7WmMXQKhOP-8lmrQ	Gaming	""""""	DefyDiscovery	3	Strategy video game	"[""D6mSoQXSgrU""]"	1
